image_path,x_tl,y_tl,x_br,y_br,w,h,class
2015_00001.png,204,28,475,221,271,193,0
2015_00002.png,316,171,349,197,33,26,4
2015_00002.png,136,190,215,299,79,109,0
2015_00002.png,219,172,282,303,63,131,0
2015_00002.png,277,188,353,312,76,124,0
2015_00002.png,348,183,405,264,57,81,0
2015_00002.png,395,175,429,199,34,24,4
2015_00003.png,287,101,498,347,211,246,0
2015_00003.png,215,146,322,216,107,70,6
2015_00003.png,3,128,38,149,35,21,3
2015_00004.jpg,109,142,300,353,191,211,0
2015_00004.jpg,279,121,485,266,206,145,0
2015_00005.jpg,225,61,406,332,181,271,0
2015_00006.jpg,365,126,499,325,134,199,0
2015_00006.jpg,212,166,229,198,17,32,0
2015_00006.jpg,203,159,221,191,18,32,10
2015_00007.jpg,35,194,197,309,162,115,0
2015_00008.jpg,116,211,185,371,69,160,10
2015_00008.jpg,108,271,217,368,109,97,0
2015_00009.jpg,302,83,379,249,77,166,10
2015_00009.jpg,241,87,307,245,66,158,10
2015_00009.jpg,174,151,344,254,170,103,0
2015_00009.jpg,346,154,467,252,121,98,0
2015_00010.jpg,156,382,313,507,157,125,0
2015_00010.jpg,515,349,783,528,268,179,0
2015_00010.jpg,79,316,246,490,167,174,10
2015_00011.jpg,365,77,788,699,423,622,10
2015_00011.jpg,344,321,627,766,283,445,0
2015_00012.jpg,505,232,1018,756,513,524,10
2015_00012.jpg,166,161,533,753,367,592,10
2015_00012.jpg,27,430,602,765,575,335,0
2015_00012.jpg,28,124,262,246,234,122,4
2015_00013.jpg,662,356,737,548,75,192,10
2015_00013.jpg,223,324,335,638,112,314,10
2015_00013.jpg,652,429,749,589,97,160,0
2015_00013.jpg,235,441,356,651,121,210,0
2015_00014.jpg,378,184,760,455,382,271,0
2015_00014.jpg,38,259,313,418,275,159,10
2015_00014.jpg,36,242,252,498,216,256,10
2015_00015.jpg,471,305,541,488,70,183,0
2015_00015.jpg,539,347,587,445,48,98,0
2015_00015.jpg,245,261,469,639,224,378,0
2015_00016.jpg,83,241,343,419,260,178,0
2015_00017.jpg,7,267,154,412,147,145,6
2015_00017.jpg,23,230,236,404,213,174,0
2015_00018.jpg,57,249,307,403,250,154,0
